frame_index,time,road,lane,vehicle_class,vehicle_id,event_type
63402,2536.08,R,l,car,32594,overdrive
63736,2549.44,R,m,car,32716,overdrive
63901,2556.04,R,m,car,32865,overdrive
63916,2556.64,L,m,car,32867,overdrive
63949,2557.96,L,m,car,32899,overdrive
64160,2566.4,R,r,car,32988,overdrive
64271,2570.84,L,r,car,33017,cruise
64284,2571.36,L,l,truck,33046,overdrive
64289,2571.56,R,l,car,33052,overdrive
64397,2575.88,R,l,car,33092,overdrive
64585,2583.4,R,r,truck,33179,cruise
64855,2594.2,L,m,car,33343,overdrive
65185,2607.4,R,r,car,33551,cruise
65191,2607.64,R,m,truck,33560,overdrive
65525,2621.0,R,m,truck,33716,cruise
65539,2621.56,L,r,truck,33733,cruise
66036,2641.44,L,m,car,33980,overdrive
66102,2644.08,L,r,car,34009,overdrive
66125,2645.0,L,m,car,34019,overdrive
66530,2661.2,R,l,truck,34282,overdrive
66547,2661.88,L,m,car,34204,overdrive
67040,2681.6,L,r,car,34673,overdrive
67066,2682.64,L,r,truck,34683,cruise
67105,2684.2,L,r,truck,34694,cruise
67112,2684.48,L,r,truck,34725,cruise
67185,2687.4,R,m,car,34778,overdrive
67247,2689.88,R,r,truck,34822,cruise
67344,2693.76,R,m,car,34852,cruise
67392,2695.68,L,m,bus,34900,overdrive
67575,2703.0,L,m,car,34967,overdrive
67703,2708.12,L,m,car,35050,overdrive
68171,2726.84,L,r,truck,35245,cruise
68218,2728.72,R,r,bus,35324,cruise
68694,2747.76,L,m,bus,35623,overdrive
68870,2754.8,R,l,car,35719,overdrive
69149,2765.96,L,m,car,35850,overdrive
69160,2766.4,R,m,car,35866,overdrive
69207,2768.28,L,r,truck,35820,cruise
69294,2771.76,R,m,car,35925,overdrive
69362,2774.48,R,r,car,35952,overdrive
69384,2775.36,R,l,car,35965,overdrive
69462,2778.48,L,r,truck,35987,cruise
69778,2791.12,L,r,car,36206,overdrive
69882,2795.28,L,m,truck,36204,overdrive
69928,2797.12,R,l,car,36294,overdrive
69939,2797.56,L,l,car,36291,overdrive
70023,2800.92,L,m,car,36344,overdrive
70043,2801.72,L,m,car,36380,overdrive
70188,2807.52,R,m,car,36510,overdrive
70278,2811.12,R,l,car,36565,overdrive
70324,2812.96,R,l,car,36577,overdrive
70446,2817.84,R,r,truck,36618,overdrive
70594,2823.76,R,m,bus,36637,overdrive
70755,2830.2,R,l,car,36706,overdrive
70801,2832.04,R,m,car,36727,cruise
70909,2836.36,R,l,car,36786,overdrive
70951,2838.04,R,m,car,36797,overdrive
71188,2847.52,L,m,truck,36850,overdrive
71364,2854.56,L,r,truck,36975,cruise
72148,2885.92,R,r,truck,37337,cruise
72343,2893.72,L,l,truck,37473,overdrive
72499,2899.96,R,l,car,37574,cruise
72531,2901.24,R,m,car,37598,overdrive
72683,2907.32,R,l,truck,37664,overdrive
73132,2925.28,R,m,truck,37904,overdrive
73262,2930.48,L,m,car,37954,overdrive
73314,2932.56,L,r,truck,37927,cruise
73325,2933.0,L,r,truck,37971,cruise
73473,2938.92,L,r,truck,38026,cruise
73638,2945.52,R,l,car,38169,overdrive
73724,2948.96,L,r,car,38199,cruise
