frame_index,time,road,lane,vehicle_class,vehicle_id,event_type,duration
48473,1938.92,L,r,truck,24318,cruise,"24,36"
48554,1942.16,L,m,car,24377,overdrive,"24,36"
48822,1952.88,L,r,truck,24480,cruise,"24,36"
48846,1953.84,L,m,car,24515,overdrive,"24,36"
48923,1956.92,L,m,car,24576,overdrive,"24,36"
48985,1959.4,L,l,car,24627,overdrive,"24,36"
49080,1963.2,L,m,car,24703,overdrive,"24,36"
49174,1966.96,L,m,car,24736,overdrive,"24,36"
49216,1968.64,L,m,car,24720,cruise,"24,36"
49246,1969.84,L,m,car,24808,overdrive,"24,36"
49356,1974.24,L,m,car,24865,overdrive,"24,36"
49448,1977.92,R,m,car,24886,overdrive,"24,36"
49628,1985.12,L,m,car,25047,overdrive,"24,36"
49762,1990.48,R,r,truck,25146,overdrive,"24,36"
50009,2000.36,L,r,truck,25254,cruise,"24,36"
50089,2003.56,L,m,car,25302,overdrive,"24,36"
50128,2005.12,L,r,truck,25336,cruise,"24,36"
50346,2013.84,L,m,car,25472,overdrive,"24,36"
50358,2014.32,R,l,car,25510,overdrive,"24,36"
50384,2015.36,L,m,car,25503,overdrive,"24,36"
50470,2018.8,L,l,car,25572,overdrive,"24,36"
50500,2020,L,m,car,25547,overdrive,"24,36"
51102,2044.08,L,m,car,25917,overdrive,"24,36"
51131,2045.24,L,m,car,25956,overdrive,"24,36"
51176,2047.04,L,m,car,26048,overdrive,"24,36"
51526,2061.04,R,r,bus,26192,cruise,"24,36"
51599,2063.96,L,r,truck,26186,cruise,"24,36"
51688,2067.52,L,m,truck,26327,overdrive,"24,36"
51846,2073.84,L,m,car,26402,overdrive,"24,36"
52408,2096.32,L,r,truck,26832,cruise,"24,36"
52535,2101.4,L,l,car,26961,overdrive,"24,36"
52839,2113.56,L,m,car,27176,overdrive,"24,36"
53038,2121.52,L,m,car,27214,overdrive,"24,36"
53038,2121.52,R,m,car,27215,overdrive,"24,36"
53132,2125.28,R,m,truck,27265,overdrive,"24,36"
53165,2126.6,L,m,car,27250,overdrive,"24,36"
53219,2128.76,L,l,car,27302,overdrive,"24,36"
53256,2130.24,R,l,car,27326,overdrive,"24,36"
53331,2133.24,R,l,car,27392,overdrive,"24,36"
53364,2134.56,R,m,car,27410,overdrive,"24,36"
53372,2134.88,L,m,car,27408,overdrive,"24,36"
53422,2136.88,L,m,car,27433,overdrive,"24,36"
53444,2137.76,R,l,car,27439,overdrive,"24,36"
53460,2138.4,L,m,car,27435,overdrive,"24,36"
53492,2139.68,R,l,truck,27465,overdrive,"24,36"
53590,2143.6,R,l,car,27501,overdrive,"24,36"
53671,2146.84,R,m,bus,27535,cruise,"24,36"
53674,2146.96,L,m,car,27546,overdrive,"24,36"
53719,2148.76,L,m,car,27573,overdrive,"24,36"
53820,2152.8,R,r,car,27598,cruise,"24,36"
53913,2156.52,R,m,car,27664,overdrive,"24,36"
54060,2162.4,L,r,truck,27781,overdrive,"36,48"
54092,2163.68,R,l,truck,27792,overdrive,"36,48"
54127,2165.08,L,r,truck,27804,cruise,"36,48"
54271,2170.84,R,m,car,27942,overdrive,"36,48"
54280,2171.2,L,r,car,27937,cruise,"36,48"
54481,2179.24,L,m,car,28030,overdrive,"36,48"
54485,2179.4,R,m,car,28043,overdrive,"36,48"
54734,2189.36,L,r,bus,28138,cruise,"36,48"
54736,2189.44,L,r,truck,28079,cruise,"36,48"
54757,2190.28,R,m,car,28198,overdrive,"36,48"
54772,2190.88,R,m,car,28211,overdrive,"36,48"
55252,2210.08,R,m,truck,28450,overdrive,"36,48"
55276,2211.04,R,m,car,28464,overdrive,"36,48"
55439,2217.56,R,m,car,28545,overdrive,"36,48"
55590,2223.6,R,r,truck,28616,cruise,"36,48"
55593,2223.72,L,m,truck,28642,overdrive,"36,48"
55598,2223.92,L,r,truck,28633,cruise,"36,48"
55842,2233.68,L,m,car,28770,overdrive,"36,48"
55848,2233.92,L,r,car,28768,cruise,"36,48"
55982,2239.28,L,l,car,28860,overdrive,"36,48"
56060,2242.4,L,m,car,28923,overdrive,"36,48"
56190,2247.6,L,m,car,29015,overdrive,"36,48"
56306,2252.24,R,l,car,29062,overdrive,"36,48"
56372,2254.88,R,l,car,29090,overdrive,"36,48"
56456,2258.24,R,l,car,29140,overdrive,"36,48"
56642,2265.68,L,m,car,29213,overdrive,"36,48"
56903,2276.12,R,l,car,29363,overdrive,"36,48"
56923,2276.92,L,m,car,29366,overdrive,"36,48"
57424,2296.96,L,m,truck,29589,overdrive,"36,48"
57486,2299.44,R,r,car,29624,cruise,"36,48"
57551,2302.04,R,l,truck,29695,overdrive,"36,48"
57842,2313.68,R,r,truck,29920,cruise,"36,48"
57974,2318.96,L,m,truck,29992,overdrive,"36,48"
58057,2322.28,R,r,car,30031,cruise,"36,48"
58152,2326.08,R,l,car,30070,overdrive,"36,48"
58171,2326.84,R,l,truck,30059,cruise,"36,48"
58172,2326.88,L,r,bus,30091,cruise,"36,48"
58209,2328.36,L,r,truck,30122,overdrive,"36,48"
58858,2354.32,R,r,truck,30399,cruise,"36,48"
58861,2354.44,L,r,car,30412,overdrive,"36,48"
58883,2355.32,L,r,truck,30425,cruise,"36,48"
59230,2369.2,L,m,car,30610,overdrive,"36,48"
